matrícula,nome,idade,renda,cor,sexo,ano_curso,escola,curso,logradouro,numero,bairro,cidade,uf,cep,motivação,porcentagem_concluida_curso,coordenadas_long_lat,distrito,distancia_ate_puc
RA55000118,Willon Feitosa Alvarenga,19,1044.99,branca,masculino,3,pública,engenharia biomédica,Rua A,762,Jardim Santa Cruz (Sacomã),São Paulo,SP,04182-125,10,0.6,"-46.600155, -23.6419533",SACOMA,13667.568218991739
RA55000119,Andison Cerqueira,19,1131.99,branca,masculino,3,pública,engenharia biomédica,Rua Nossa Senhora Aparecida,463,Jardim Elizabeth,São Paulo,SP,08320-800,10,0.6,"-46.4597396, -23.6352121",SAO RAFAEL,24151.220214394853
RA55000120,Artila Gravato Garcez,19,1152.99,branca,feminino,3,pública,direito,Rua Major Boaventura,415,Parque Artur Alvim,São Paulo,SP,03569-030,9,0.6,"-46.4910479, -23.5423042",ARTUR ALVIM,18399.899972404593
RA55000121,Regislene Trindade Damásio Saraiva,19,1134.99,branca,feminino,3,pública,design,Rua Major Boaventura,415,Parque Artur Alvim,São Paulo,SP,03569-030,10,1.0,"-46.4910479, -23.5423042",ARTUR ALVIM,18399.899972404593
RA55000122,Delian Pimentel Veríssimo ,19,864.99,branca,masculino,3,pública,administração,Praça Duere,628,Vila Carrão,São Paulo,SP,03445-010,9,0.75,"-46.5312723, -23.5511329",CARRAO,14360.239571069444
RA55000123,Valdoir Ribas Valverde Sítima,19,618.99,branca,masculino,3,pública,ciência da computação,Rua Capitão João Noronha,747,Parque Mandaqui,São Paulo,SP,02418-050,9,0.75,"-46.6291221, -23.471756",MANDAQUI,8552.590789477483
RA55000124,Elves Cortesão,19,648.99,branca,masculino,3,pública,direito,Rua Onofre Pinto,15,Jardim Lajeado,São Paulo,SP,08441-211,9,0.6,"-46.4028941, -23.5327506",LAJEADO,27402.521378617683
RA55000125,Martus Narvais,19,660.99,branca,masculino,3,pública,história,Rua Capitão Prudente,202,Pinheiros,São Paulo,SP,05422-050,9,0.75,"-46.6865828, -23.5679204",PINHEIROS,3680.9151563477176
RA55000126,Onesto Festas Lamego Viegas,19,928.99,branca,masculino,3,pública,direito,Rua João Pujol,954,Vila Dona Sara,São Paulo,SP,03471-020,10,0.6,"-46.5197302, -23.568542",ARICANDUVA,15832.917393855914
RA55000127,Ruberci Gorjão Palha Esteves,19,615.99,preta,masculino,3,pública,história,Rua Dom Lino,945,Luz,São Paulo,SP,01103-070,10,0.75,"-46.628204, -23.5358517",BOM RETIRO,4395.838381390289
RA55000128,Talina Sacramento Melgaço Rodrigues,19,780.99,branca,feminino,3,pública,filosofia,Rua Albina Barbosa,289,Aclimação,São Paulo,SP,01530-020,10,1.0,"-46.6268184, -23.5706022",LIBERDADE,5803.727824750559
RA55000129,Reni Olivares,19,948.99,branca,feminino,3,pública,administração,Rua Rui Barbosa,229,Bela Vista,São Paulo,SP,01326-010,10,0.75,"-46.6452299, -23.5573897",BELA VISTA,3415.419878330535
RA55000130,Eliel Torres Anes Valgueiro,19,952.99,branca,masculino,3,pública,medicina,Avenida Ceci,688,Planalto Paulista,São Paulo,SP,04065-004,10,0.5,"-46.6521425, -23.6156353",SAUDE,8865.679592638784
RA55000131,Gilcilea Landim Couto,19,847.99,branca,feminino,3,pública,medicina,Rua São José,272,Chácara Gaivotas,São Paulo,SP,04849-316,9,0.5,"-46.6634943, -23.736651",GRAJAU,22159.10092324728
RA55000132,Jussinei Queiroga Aquino,19,669.99,branca,masculino,3,pública,ciência da computação,Rua Quatro de Agosto,14,Saúde,São Paulo,SP,04053-060,9,0.75,"-46.6413512, -23.6146709",SAUDE,9069.247549816519
RA55000133,Wasley Bragança Taborda,19,1790.98,preta,masculino,3,privada,filosofia,Rua São Jorge,214,Recanto Verde do Sol,São Paulo,SP,08382-117,10,1.0,"-46.4212861, -23.6144555",IGUATEMI,26896.36255908743
RA55000134,John Morais Candal,19,1393.99,branca,masculino,3,pública,história,Rua Marcos Lopes,456,Vila Nova Conceição,São Paulo,SP,04513-080,10,0.75,"-46.67151459999999, -23.5985126",MOEMA,6740.164790647067
RA55000135,Weligton Cavadas Viveiros,19,2220.98,branca,masculino,3,privada,ciência de dados,Rua Duque Costa,420,Vila Sofia,São Paulo,SP,04671-160,9,0.8571428571428571,"-46.6906946, -23.6587313",CAMPO GRANDE,13601.597811524662
RA55000136,Diles Vilaverde,19,2063.98,branca,masculino,3,privada,história,Rua Pedro Doll,912,Santana,São Paulo,SP,02404-001,9,0.75,"-46.6314, -23.4902621",SANTANA,6703.2872424627785
RA55000137,Leiuson Da Costa Souto Robalinho,19,1436.99,preta,masculino,3,privada,ciência da computação,Rua Nove de Julho,677,Santo Amaro,São Paulo,SP,04739-900,10,0.75,"-46.6969284, -23.64617",SANTO AMARO,12337.196443927061
RA55000138,Joseclaudio Quinteiro,19,2095.98,branca,masculino,3,privada,ciência de dados,Rua Major Sucupira,301,Vila Firmiano Pinto,São Paulo,SP,04124-050,10,0.8571428571428571,"-46.6208479, -23.5988349",CURSINO,8504.96834470988
RA55000139,Sheila Mourão Mariz,19,1586.99,branca,feminino,3,privada,filosofia,Avenida Nove de Julho,947,Jardim Paulista,São Paulo,SP,01406-100,9,1.0,"-46.64694240000001, -23.5521074",BELA VISTA,2928.7712596311126
RA55000140,Emir Cascais,19,1975.98,branca,masculino,3,privada,filosofia,Rua Barão de Suruí,910,Vila Congonhas,São Paulo,SP,04612-120,9,1.0,"-46.6630757, -23.6192325",CAMPO BELO,9088.65842514152
RA55000141,Mariniza Alpuim Lindim,19,1912.98,branca,feminino,3,privada,design,Rua Marechal Malet,251,Parque da Vila Prudente,São Paulo,SP,03140-020,9,1.0,"-46.5794609, -23.5883275",VILA PRUDENTE,10914.026833796668
RA55000142,Daria Lessa Faia,19,2174.98,preta,feminino,3,pública,administração,Rua Trio Arquiduque,434,Jardim São Bernardo,São Paulo,SP,04844-520,10,0.75,"-46.7019491, -23.7590457",GRAJAU,24840.386314734624
RA55000143,Reigiane Tavares,19,1292.99,branca,feminino,3,privada,administração,Rua São Bruno,741,Jardim São Bento,São Paulo,SP,02525-020,9,0.75,"-46.6471054, -23.5032003",CASA VERDE,4600.990564997494
RA55000144,Derlis Macedo Amaro Cabreira,19,1574.99,branca,masculino,3,privada,história,Avenida Nove de Julho,568,Jardim Paulista,São Paulo,SP,01407-907,9,0.75,"-46.6438767, -23.5502206",REPUBLICA,3100.1739427352845
RA55000145,Generina Espargosa,19,1372.99,preta,feminino,3,privada,engenharia biomédica,Rua Pedro Barbosa,194,Jardim Marília,São Paulo,SP,03579-130,10,0.6,"-46.4977275, -23.5634666",CID LIDER,17935.70415310842
RA55000146,Ericki Bouça Remígio Cabeça De Vaca,19,1598.99,branca,masculino,3,pública,ciência de dados,Rua Marechal Pimentel,204,Sacomã,São Paulo,SP,04248-100,10,0.8571428571428571,"-46.5964786, -23.6104991",SACOMA,11109.393364396637
RA55000147,Gilseppe Alves,19,1631.99,branca,masculino,3,privada,administração,Avenida Duquesa de Goiás,792,Real Parque,São Paulo,SP,05686-900,9,0.75,"-46.7025865, -23.6146259",MORUMBI,9118.402671796035
RA55000148,Clonice Vilaça,19,2212.98,branca,feminino,3,privada,medicina,Rua Rainha-do-Bosque,864,Vila Santa Inês,São Paulo,SP,03812-030,9,0.5,"-46.4662972, -23.4939114",VILA JACUI,21496.262476632328
RA55000149,Silvio Monforte,19,1743.99,branca,masculino,3,pública,direito,Rua Major Sucupira,301,Vila Firmiano Pinto,São Paulo,SP,04124-050,10,0.6,"-46.6208479, -23.5988349",CURSINO,8504.96834470988
RA55000150,Elizabeti Vieira,19,1276.99,branca,feminino,3,pública,filosofia,Rua Capitão João Carlos,28,Nossa Senhora do Ó,São Paulo,SP,02926-060,9,1.0,"-46.7022388, -23.4991737",FREGUESIA DO O,5373.793404397376
RA55000151,Alsonia Janes Toste,19,2000.98,branca,feminino,3,privada,filosofia,Rua Sete de Junho,453,União de Vila Nova,São Paulo,SP,08072-075,8,1.0,"-46.4563377, -23.4870127",VILA JACUI,22669.01501318083
RA55000152,Osvaldinei Infante Sarmento,19,1858.98,branca,masculino,3,privada,administração,Rua Ernani Pinto,803,Vila Maria Alta,São Paulo,SP,02128-020,7,0.75,"-46.5924098, -23.5019533",VILA MARIA,8996.680983390248
RA55000153,Joseana Linhares,19,1406.99,branca,feminino,3,privada,administração,Rua São Luís,207,Vila Cosmopolita,São Paulo,SP,08421-030,8,0.75,"-46.4240129, -23.5566942",GUAIANASES,25322.94478200757
RA55000154,Juscimara Vilalobos,19,1386.99,branca,feminino,3,privada,ciência da computação,Rua Mozart Pinto,985,Jardim Guarujá,São Paulo,SP,05877-280,6,0.75,"-46.7912418, -23.6915854",CAPAO REDONDO,21049.274048165287
RA55000155,Laionel Medeiros Leme,19,1769.99,branca,masculino,3,privada,direito,Avenida Vinte e Quatro de Fevereiro,868,Vila Rui Barbosa,São Paulo,SP,03734-090,6,0.6,"-46.523475, -23.5106779",CANGAIBA,15390.434460966262
RA55000156,Angela Mafra Palhares,19,2027.98,branca,feminino,3,privada,administração,Rua Silva Pinto,123,Bom Retiro,São Paulo,SP,01126-010,6,0.75,"-46.6409844, -23.5293328",BOM RETIRO,3234.172915858049
RA55000157,Dorneval Batata,19,1291.99,branca,masculino,3,pública,direito,Rua Trio Arquiduque,434,Jardim São Bernardo,São Paulo,SP,04844-520,8,0.6,"-46.7019491, -23.7590457",GRAJAU,24840.386314734624
RA55000158,Ethel Mansilha Alvarenga Tabanez,19,1716.99,branca,masculino,3,privada,medicina,Rua Marechal Mello Ararigbóia,289,Vila Francos,São Paulo,SP,02880-060,8,0.5,"-46.6744801, -23.4684542",BRASILANDIA,7770.977439532229
RA55000159,Luane Rua,19,1743.99,branca,feminino,3,pública,design,Rua Marcos Lopes,456,Vila Nova Conceição,São Paulo,SP,04513-080,7,1.0,"-46.67151459999999, -23.5985126",MOEMA,6740.164790647067
RA55000160,Sandrieli Medeiros Lindim Ferraz,19,1969.98,branca,feminino,3,privada,ciência da computação,Rua Sete de Junho,453,União de Vila Nova,São Paulo,SP,08072-075,7,0.75,"-46.4563377, -23.4870127",VILA JACUI,22669.01501318083
RA55000161,Petronio Parente Casqueira,19,1598.99,branca,masculino,3,privada,direito,Praça Capri,573,Jardim Leonor Mendes de Barros,São Paulo,SP,02347-040,7,0.6,"-46.6110238, -23.463234",TREMEMBE,10363.77742386876
RA55000162,Regivaldo Carneiro,19,2409.98,branca,masculino,3,privada,filosofia,Rua Xavier de Almeida,504,Ipiranga,São Paulo,SP,04211-001,8,1.0,"-46.6081309, -23.5904483",IPIRANGA,8692.873352641662
RA55000163,Oliver Canedo Carvalhoso,19,2427.98,branca,masculino,3,privada,ciência da computação,Rua André de Almeida,565,Jardim Cinco de Julho,São Paulo,SP,03953-085,7,0.75,"-46.4876002, -23.590251",SAO MATEUS,19625.87964290263
RA55000164,Joarino Sardo Xavier Brasil,19,2144.98,branca,masculino,3,privada,história,Avenida Ceci,688,Planalto Paulista,São Paulo,SP,04065-004,8,0.75,"-46.6521425, -23.6156353",SAUDE,8865.679592638784
RA55000165,Teonildo Pureza,19,2162.98,preta,masculino,3,privada,história,Rua João Lima,912,Chácara Belenzinho,São Paulo,SP,03381-080,6,0.75,"-46.5280229, -23.5781294",VILA FORMOSA,15284.344253597304
RA55000166,Duani Pádua Valido,19,1299.99,branca,feminino,3,pública,administração,Rua Vinte e Quatro de Dezembro,307,Vila Dom Pedro II,São Paulo,SP,02241-050,7,0.75,"-46.6084829, -23.4900508",TUCURUVI,8347.60136166184
RA55000167,Rosilandia Rua,19,1966.98,branca,feminino,3,privada,história,Rua Rui Boto de Sousa,425,Jardim Aracati,São Paulo,SP,04949-020,7,0.75,"-46.7670013, -23.7192588",JD ANGELA,22444.047195329244
RA55000168,Wilfrid Cedraz,19,1943.98,preta,masculino,3,pública,design,Rua Pedro Roget,841,Jardim Vivan,São Paulo,SP,02993-160,6,1.0,"-46.7326427, -23.4547192",JARAGUA,11216.714144937006
RA55000169,Ezenilson Temes Sousa,19,2227.98,branca,masculino,3,privada,história,Rua Dezenove de Julho,875,Jardim São José (Zona Norte),São Paulo,SP,02971-040,6,0.75,"-46.7110407, -23.4863841",PIRITUBA,7056.772115547531
RA55000170,Guilherme Macena,19,2015.98,branca,masculino,3,privada,design,Rua Peruíbe,864,Jardim Europa,São Paulo,SP,01448-090,6,1.0,"-46.6835599, -23.5811095",ITAIM BIBI,4962.656159834093
RA55000171,Neurenice Caires,19,1306.99,branca,feminino,3,privada,ciência de dados,Rua São Marcos,547,Chácara Gaivotas,São Paulo,SP,04849-314,8,0.8571428571428571,"-46.6653668, -23.7370211",GRAJAU,22194.35487866624
RA55000172,Percival Afonso Onofre,19,1232.99,branca,masculino,3,privada,design,Rua Rui Barbosa,229,Bela Vista,São Paulo,SP,01326-010,6,1.0,"-46.6452299, -23.5573897",BELA VISTA,3415.419878330535
RA55000173,Elimar Vinhas,19,1821.98,preta,masculino,3,privada,filosofia,Rua Marechal Silva Fonseca,104,Jardim Três Marias,São Paulo,SP,03676-030,6,1.0,"-46.4927623, -23.5171327",PONTE RASA,18369.266017103844
RA55000174,Gelcon Cotrim Ferraz Salvado,19,1963.98,branca,masculino,3,privada,ciência de dados,Rua Diogo Barbosa,435,Vila Marari,São Paulo,SP,04403-210,7,0.8571428571428571,"-46.6631442, -23.6751645",CID ADEMAR,15310.336636793372
RA55000175,Katiusse Caetano,19,1647.99,branca,feminino,3,privada,filosofia,Rua José de Almeida,979,Vila Medeiros,São Paulo,SP,02204-001,8,1.0,"-46.59184579999999, -23.4867237",VILA MEDEIROS,9921.860369909095
RA55000176,Valderlina Sobreira Valido,19,2227.98,branca,feminino,3,privada,filosofia,Rua André de Almeida,406,Cidade São Mateus,São Paulo,SP,03959-090,6,1.0,"-46.488598, -23.5894279",SAO MATEUS,19501.498631153652
RA55000177,Tais Rangel Vasques Simões,19,1276.99,branca,feminino,3,privada,administração,Rua Albina Barbosa,289,Aclimação,São Paulo,SP,01530-020,6,0.75,"-46.6268184, -23.5706022",LIBERDADE,5803.727824750559
RA55000178,Atenildes Bettencourt Bezerra Pádua,19,1387.99,branca,feminino,3,privada,administração,Rua Xavier de Almeida,504,Ipiranga,São Paulo,SP,04211-001,8,0.75,"-46.6081309, -23.5904483",IPIRANGA,8692.873352641662
RA55000179,Elivone Serpa Vital Anes,20,1714.43,preta,feminino,4,privada,administração,Rua Sete de Abril,277,Parque Primavera,São Paulo,SP,04467-285,7,1.0,"-46.6491856, -23.6920574",PEDREIRA,17318.725203390135
RA55000180,Jadiel Quinterno Vale Veiga,20,1616.43,branca,masculino,4,privada,ciência da computação,Rua Sete de Junho,453,União de Vila Nova,São Paulo,SP,08072-075,7,1.0,"-46.4563377, -23.4870127",VILA JACUI,22669.01501318083
RA55000181,Saverio Frota Urias,20,1726.43,branca,masculino,4,privada,filosofia,Rua Quatro de Agosto,14,Saúde,São Paulo,SP,04053-060,6,1.3333333333333333,"-46.6413512, -23.6146709",SAUDE,9069.247549816519
RA55000182,Joelsio Espírito Santo Quinteiro Ferraz,20,2437.43,preta,masculino,4,privada,ciência da computação,Rua Nossa Senhora da Penha,823,Penha de França,São Paulo,SP,03632-060,7,1.0,"-46.549434, -23.5284826",PENHA,12478.42946767207
RA55000183,Joiciane Casalinho Quadros Valente,20,1945.43,branca,feminino,4,privada,administração,Rua Nossa Senhora Aparecida,347,Jardim Felicidade (Zona Norte),São Paulo,SP,02326-105,6,1.0,"-46.5768098, -23.4440407",JACANA,14243.92584809938
RA55000184,Damasia Picanço Damasceno,20,2075.43,branca,feminino,4,privada,filosofia,Avenida Agami,715,Moema,São Paulo,SP,04522-001,7,1.3333333333333333,"-46.6597619, -23.6008414",MOEMA,7096.4698373518995
RA55000185,Evanice Mainha Veiga Pais,20,1797.43,branca,feminino,4,privada,engenharia biomédica,Rua Dom Pedro,498,Jardim Apurá,São Paulo,SP,04470-037,7,0.8,"-46.6613435, -23.7409979",GRAJAU,22652.301068322693
RA55000186,Isoldi Charneca Boaventura Pederneiras,20,1340.44,branca,masculino,4,pública,medicina,Rua André de Almeida,410,Cidade São Mateus,São Paulo,SP,03950-000,7,0.6666666666666666,"-46.4885923, -23.5894345",SAO MATEUS,19502.270763234083
RA55000187,Genisvan Luz Azenha,20,2026.43,branca,masculino,4,pública,filosofia,Rua Pedro Doll,676,Santana,São Paulo,SP,02404-001,7,1.3333333333333333,"-46.6314, -23.4902621",SANTANA,6703.2872424627785
RA55000188,Jurandina Veiga Mariz Cachoeira,20,1418.44,branca,feminino,4,privada,direito,Praça Capri,849,Jardim Leonor Mendes de Barros,São Paulo,SP,02347-040,6,0.8,"-46.6110238, -23.463234",TREMEMBE,10363.77742386876
RA55000189,Suzelaine Mirandela Bingre,20,1976.43,branca,feminino,4,privada,ciência da computação,Rua do Buruí,876,Parque Casa de Pedra,São Paulo,SP,02320-170,6,1.0,"-46.5953586, -23.4483439",TREMEMBE,12653.572321365267
RA55000190,Gesselma Barra,20,1780.43,preta,feminino,4,privada,administração,Rua 23 de Novembro,929,Vila Progresso (Zona Leste),São Paulo,SP,08240-001,7,1.0,"-46.4446166, -23.5248726",SAO MIGUEL,23183.0360786632
RA55000191,Joida Veleda Branco,20,2070.43,branca,feminino,4,privada,ciência de dados,Praça Gute,947,Vila Mariana,São Paulo,SP,04118-110,7,1.1428571428571428,"-46.6289013, -23.5953922",VILA MARIANA,7713.803166999641
RA55000192,Jasciane Brião Pestana,20,1326.44,branca,feminino,4,privada,história,Rua Vale Maior,533,Jardim Miriam,São Paulo,SP,04417-040,6,1.0,"-46.6330779, -23.6826318",CID ADEMAR,16584.32505243797
RA55000193,Vilena Milheirão,20,2160.43,branca,feminino,4,pública,medicina,Rua Caetano Augusto,468,Mooca,São Paulo,SP,03190-070,6,0.6666666666666666,"-46.5722877, -23.5638971",AGUA RASA,10500.614702934281
RA55000194,Elielze Castilho Hernandes Reis,20,1914.43,branca,feminino,4,pública,administração,Rua Rosa de Nossa Senhora,73,Vila Reis,São Paulo,SP,08040-400,8,1.0,"-46.4502074, -23.50849",VILA JACUI,22806.4572979203
RA55000195,Eldon Seixas Cardim,20,1298.44,branca,masculino,4,privada,história,Rua Silva Pinto,972,Bom Retiro,São Paulo,SP,01126-010,7,1.0,"-46.6400348, -23.5290012",BOM RETIRO,3337.783119643367
RA55000196,Rochele Damásio Cartaxo,20,1789.43,branca,feminino,4,privada,ciência de dados,Rua João Pires,702,Mooca,São Paulo,SP,03168-060,7,1.1428571428571428,"-46.5909286, -23.5547767",MOOCA,8403.88317982572
RA55000197,Julieni Macedo Baía,20,1729.43,branca,feminino,4,pública,filosofia,Rua Marechal Silva Fonseca,104,Jardim Três Marias,São Paulo,SP,03676-030,6,1.3333333333333333,"-46.4927623, -23.5171327",PONTE RASA,18369.266017103844
RA55000198,Camila Castilhos Jordão Cabral,20,2026.43,preta,feminino,4,pública,filosofia,Rua Pedro Bruno,172,Butantã,São Paulo,SP,05506-010,6,1.3333333333333333,"-46.7094469, -23.5627911",BUTANTA,4780.916140049881
RA55000199,Virgilina Noite Bentes,20,2171.43,branca,feminino,4,privada,medicina,Avenida Onze de Junho,167,Vila Clementino,São Paulo,SP,04041-000,7,0.6666666666666666,"-46.63833409999999, -23.6017919",SAUDE,7857.976379737667
RA55000200,Walesk Canto Salomão Albuquerque,20,2341.43,branca,feminino,4,privada,ciência de dados,Rua Rafael Barbosa,976,Jardim Maria Luiza,São Paulo,SP,05371-080,8,1.1428571428571428,"-46.7558298, -23.5829115",RIO PEQUENO,9983.448532406019
RA55000201,Gladestone Sá,20,1573.43,branca,masculino,4,pública,ciência de dados,Praça Aramã,946,Jardim Nordeste,São Paulo,SP,03691-160,6,1.1428571428571428,"-46.486362, -23.5320195",ARTUR ALVIM,18884.990961833042
RA55000202,Eudio Vargas Coimbra Queiroga,20,1244.44,branca,masculino,4,privada,medicina,Rua Vandoma,788,Parque Cocaia,São Paulo,SP,04850-170,7,0.6666666666666666,"-46.6784405, -23.7543455",GRAJAU,24129.31153547043
RA55000203,Arna Basílio Velasques,20,1836.43,branca,feminino,4,privada,engenharia biomédica,Rua Monsenhor Anacleto,13,Brás,São Paulo,SP,03003-020,6,0.8,"-46.623174, -23.5466213",BRAS,4994.2583955797
RA55000204,Eriadina Durão Teodoro,20,1438.44,branca,feminino,4,privada,filosofia,Rua Major Baracca,906,Parque Edu Chaves,São Paulo,SP,02232-000,7,1.3333333333333333,"-46.5621975, -23.4755526",JACANA,13134.37310389258
RA55000205,Mailza Rebocho Macena,20,2058.43,branca,feminino,4,privada,filosofia,Travessa Dezoito de Dezembro,659,Vila Tolstoi,São Paulo,SP,03269-035,8,1.3333333333333333,"-46.5237118, -23.6032076",SAPOPEMBA,16716.908855219484
RA55000206,Rubia Torres Semedo,20,1246.44,branca,feminino,4,privada,filosofia,Rua Marconi,585,Centro,São Paulo,SP,01047-910,6,1.3333333333333333,"-46.6404438, -23.5456485",REPUBLICA,3250.733925917892
RA55000207,Emory Frias,20,1607.43,preta,masculino,4,privada,administração,Rua Dezenove de Julho,875,Jardim São José (Zona Norte),São Paulo,SP,02971-040,8,1.0,"-46.7110407, -23.4863841",PIRITUBA,7056.772115547531
RA55000208,Edezilda Bilhalva,20,1825.43,branca,feminino,4,privada,engenharia biomédica,Avenida Nove de Julho,568,Jardim Paulista,São Paulo,SP,01407-907,6,0.8,"-46.6438767, -23.5502206",REPUBLICA,3100.1739427352845
RA55000209,Orismar Jobim,20,1827.43,branca,masculino,4,pública,design,Rua Treze de Agosto,881,Vila União (Zona Leste),São Paulo,SP,03920-070,7,1.3333333333333333,"-46.5206946, -23.597979",SAPOPEMBA,16754.085832078486
RA55000210,Adania Torreiro Santarém Bugalho,20,2223.43,branca,masculino,4,privada,administração,Rua São Pedro,208,Recanto Verde do Sol,São Paulo,SP,08382-110,8,1.0,"-46.4204982, -23.6161821",IGUATEMI,27033.981840616416
RA55000211,Leidson Caniça Beiriz Valadim,20,1698.43,branca,masculino,4,privada,filosofia,Rua São João,847,Jardim Nova Conquista,São Paulo,SP,08346-405,7,1.3333333333333333,"-46.4484178, -23.6281711",SAO RAFAEL,24862.210586992584
RA55000212,Clairson Abasto Talhão,20,1331.44,branca,masculino,4,privada,medicina,Rua Nove de Julho,677,Santo Amaro,São Paulo,SP,04739-900,8,0.6666666666666666,"-46.6969284, -23.64617",SANTO AMARO,12337.196443927061
RA55000213,Dilnei Hipólito Barata,20,2229.43,branca,masculino,4,privada,filosofia,Rua Acuruí,534,Vila Formosa,São Paulo,SP,03355-000,8,1.3333333333333333,"-46.5530706, -23.5606342",VILA FORMOSA,12319.820459344217
RA55000214,Licimara Carrasco Malta Lamego,20,1350.44,branca,feminino,4,privada,medicina,Rua Piruini,530,Jardim Jaú (Zona Leste),São Paulo,SP,03710-110,7,0.6666666666666666,"-46.5496027, -23.5111231",PENHA,12774.498493211362
RA55000215,Merice Mangueira,20,2356.43,preta,feminino,4,pública,direito,Rua Sargento Olício Alves,48,Vila Campo Grande,São Paulo,SP,04455-180,7,0.8,"-46.6806318, -23.6800887",CAMPO GRANDE,15866.319909858219
RA55000216,Alvarito Fitas,20,1750.43,branca,masculino,4,privada,filosofia,Rua Sargento-Mor Carvalho,794,Cidade Ademar,São Paulo,SP,04405-080,6,1.3333333333333333,"-46.6570139, -23.6670186",CID ADEMAR,14452.616918018812
RA55000217,Shara Norões Ninharelhos Quintão,20,1580.43,branca,feminino,4,privada,administração,Rua Soldado Sebastião Felício,171,Parque Novo Mundo,São Paulo,SP,02144-070,8,1.0,"-46.570982, -23.5044895",VILA MARIA,10896.666318221392
RA55000218,Sadia Vilante Narvais,20,1342.44,branca,feminino,4,pública,administração,Praça Félix,787,Vila Sílvia,São Paulo,SP,03820-210,7,1.0,"-46.5024938, -23.4983568",CANGAIBA,17787.77130314187
RA55000219,Neif Marreiro,20,1823.43,branca,masculino,4,pública,ciência da computação,Rua Dom Aguirre,13,Vila Sofia,São Paulo,SP,04671-245,7,1.0,"-46.6858277, -23.6599591",CAMPO GRANDE,13674.004793710956
RA55000220,Amin Sobral Fortunato Frota,20,1312.44,branca,masculino,4,privada,engenharia biomédica,Rua Dom Lino,945,Luz,São Paulo,SP,01103-070,8,0.8,"-46.628204, -23.5358517",BOM RETIRO,4395.838381390289
RA55000221,Isaques Eanes,20,1280.44,branca,masculino,4,privada,direito,Rua Primeiro de Janeiro,706,Vila Clementino,São Paulo,SP,04044-060,8,0.8,"-46.6399401, -23.6040144",SAUDE,8016.141907671078
RA55000222,Marileda Pederneiras,20,2405.43,branca,feminino,4,privada,administração,Praça Sete de Fevereiro,594,Vila Formosa,São Paulo,SP,03358-020,8,1.0,"-46.5514324, -23.5637006",VILA FORMOSA,12556.91232143497
RA55000223,Ulisis Anlicoara Carvalhal Padilha,20,2231.43,branca,masculino,4,pública,história,Avenida Ceci,688,Planalto Paulista,São Paulo,SP,04065-004,6,1.0,"-46.6521425, -23.6156353",SAUDE,8865.679592638784
RA55000224,Gleison Gil Medina,20,2083.43,preta,masculino,4,privada,história,Praça Guarus,280,Parque do Lago,São Paulo,SP,04944-160,8,1.0,"-46.7756636, -23.7103103",JD ANGELA,21965.37137805826
RA55000225,Celso Coelho,20,1699.43,branca,masculino,4,privada,administração,Rua Capitão João Carlos,28,Nossa Senhora do Ó,São Paulo,SP,02926-060,7,1.0,"-46.7022388, -23.4991737",FREGUESIA DO O,5373.793404397376
RA55000226,Tabata Valgueiro Jamandas,20,1963.43,branca,feminino,4,privada,história,Rua Vinte e Oito de Setembro,136,Vila Dom Pedro I,São Paulo,SP,04267-000,8,1.0,"-46.6112781, -23.5942204",IPIRANGA,8753.45528469732
RA55000227,Elzanira Noite Franca,20,1560.43,branca,feminino,4,privada,filosofia,Rua Dez de Julho,594,Cidade Ademar,São Paulo,SP,04404-000,7,1.3333333333333333,"-46.6585678, -23.6659976",CID ADEMAR,14324.1659529807
RA55000228,Adagilson Malheiro Frajuca,20,1589.43,branca,masculino,4,privada,direito,Rua Sargento Jorge Monçores,819,Conjunto Habitacional Marechal Mascarenhas de Morais,São Paulo,SP,03977-320,6,0.8,"-46.4952439, -23.6177645",SAPOPEMBA,20040.27944127795
RA55000229,Yael Borja Doutis,20,1626.43,branca,masculino,4,privada,ciência da computação,Avenida Onze de Junho,167,Vila Clementino,São Paulo,SP,04041-000,6,1.0,"-46.63833409999999, -23.6017919",SAUDE,7857.976379737667
RA55000230,Dasy Conde Redondo Cortesão,20,2114.43,branca,feminino,4,privada,direito,Rua Treze de Maio,563,Bela Vista,São Paulo,SP,01327-900,6,0.8,"-46.646284, -23.5580605",BELA VISTA,3381.430518739905
RA55000231,Sterfany Moutinho Lisboa,20,1367.44,branca,feminino,4,privada,administração,Rua João Canzi,697,Jardim Patente,São Paulo,SP,04243-090,8,1.0,"-46.5872923, -23.6255862",SACOMA,12985.103945827625
RA55000232,Leonor Mamouros,20,1652.43,preta,feminino,4,pública,administração,Rua Emílio Barbosa,875,Vila Prudente,São Paulo,SP,03135-040,8,1.0,"-46.5793911, -23.5755966",AGUA RASA,10264.260536668075
RA55000233,Madiane Caminha,20,1454.43,branca,feminino,4,privada,ciência de dados,Rua Marcos Freire,579,Jardim Nova Conquista,São Paulo,SP,08346-580,8,1.1428571428571428,"-46.4441347, -23.6189277",SAO RAFAEL,24871.22938104618
RA55000234,Tani Filipe Garrau,20,1232.44,branca,feminino,4,privada,administração,Rua Dias Barbosa,969,Jardim São Paulo(Zona Leste),São Paulo,SP,08461-540,7,1.0,"-46.4017851, -23.5635471",GUAIANASES,27652.93735785869
